"全国地方公共団体コード","識別値","バス停名","バス停名（カナ）","緯度","経度","備考"
"23230","146","竹の山中","タケノヤマナカ","35.15598848","137.038584",""
"23230","147","名外大・名学芸大前","メイガイダイ・メイガクゲイダイマエ","35.15780187","137.0396441",""
"23230","148","名外大・名学芸大東","メイガイダイ・メイガクゲイダイヒガシ","35.15637076","137.0429027",""
"23230","149","グリーンハイツ","グリーンハイツ","35.15435068","137.0403423",""
"23230","150","弁天池","ベンテンイケ","35.15146868","137.0393334",""
"23230","151","六坊","ロクボウ","35.14752641","137.040503",""
"23230","152","北部福祉会館北","ホクブフクシカイカンキタ","35.14434894","137.0426459",""
"23230","153","岩崎橋西","イワサキバシニシ","35.14575427","137.045738",""
"23230","154","御岳","オンタケ","35.14992918","137.0471253",""
"23230","155","小林","コバヤシ","35.14811618","137.047121",""
"23230","156","岩崎橋東","イワサキバシヒガシ","35.14538473","137.0470679",""
"23230","157","岩藤西","イワフジニシ","35.14707478","137.0509698",""
"23230","158","岩藤","イワフジ","35.14824427","137.0536911",""
"23230","159","藤島公会堂","フジシマコウカイドウ","35.14025565","137.0526802",""
"23230","160","折戸","オリド","35.12061826","137.044145",""
"23230","161","市民会館","シミンカイカン","35.12806172","137.0413762",""
